,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
44,이선우,KGC인삼공사,L,589.4,33,54,232,91,17,11,3,8,188,46,15,48
45,권민지,GS칼텍스,L,587.2,28,72,178,72,7,3,5,34,12,1,0,50
46,박은서,페퍼저축은행,L,564.0,40,48,230,91,12,7,5,3,171,33,18,79
47,최은지,GS칼텍스,L,456.8,16,46,149,54,8,2,7,4,145,59,7,76
48,이예림,한국도로공사,L,423.8,27,80,107,36,10,4,1,2,158,70,12,70
49,육서영,IBK기업은행,L,335.2,33,38,170,51,20,1,2,0,110,23,5,45
50,최수빈,IBK기업은행,L,197.8,3,54,13,6,1,2,0,0,79,20,4,57
51,박현주,흥국생명,L,144.8,19,18,56,14,11,2,3,2,70,15,8,26
52,지민경,페퍼저축은행,L,144.0,7,48,29,7,1,2,2,1,18,5,1,23
53,한다혜,GS칼텍스,L,138.2,2,45,0,0,0,1,6,0,51,26,3,39
54,박민지,IBK기업은행,L,118.4,6,17,43,13,5,0,1,2,36,11,1,18
55,우수민,한국도로공사,L,111.0,5,54,3,0,1,5,2,0,1,0,1,13
56,김해빈,GS칼텍스,L,109.2,9,60,0,0,0,2,1,0,0,0,0,15
57,구혜인,IBK기업은행,L,107.8,5,43,0,0,0,1,1,0,31,9,1,29
58,김주하,현대건설,L,103.6,0,42,0,0,0,0,2,0,42,14,1,31
59,고민지,KGC인삼공사,L,84.4,9,43,2,0,1,1,0,0,31,18,1,16
60,도수빈,흥국생명,L,81.2,2,31,0,0,0,0,1,0,42,15,4,23
61,전하리,현대건설,L,64.4,7,30,0,0,0,7,0,0,0,0,0,5
62,한미르,현대건설,L,61.0,4,32,0,0,0,3,0,0,0,0,0,3
63,이예솔,KGC인삼공사,L,48.6,5,15,8,3,0,1,1,0,18,0,1,8
64,김세인,페퍼저축은행,L,45.0,3,8,10,5,0,1,0,0,8,3,1,9
65,박상미,흥국생명,L,33.2,0,17,0,0,0,0,0,0,20,4,4,7
66,이현지,현대건설,L,27.0,2,12,2,0,0,2,0,0,4,1,0,1
67,박혜미,한국도로공사,L,12.2,0,6,0,0,0,0,1,0,4,1,0,2
68,양유경,IBK기업은행,L,12.2,2,9,0,0,0,0,1,0,2,0,2,1
69,서유경,KGC인삼공사,L,11.0,1,6,0,0,0,0,0,0,3,1,0,3
70,노란,KGC인삼공사,L,9.6,0,3,0,0,0,0,0,0,4,2,1,4
71,한수진,GS칼텍스,L,8.6,4,7,0,0,0,0,1,0,1,0,0,2
72,박수연,흥국생명,L,7.6,2,4,2,0,1,1,0,0,4,1,1,1
73,채선아,KGC인삼공사,L,6.6,0,2,0,0,0,0,0,0,4,3,0,1
74,오지영,GS칼텍스,L,6.0,0,3,0,0,0,0,1,0,2,2,0,0
75,김가영,현대건설,L,1.8,0,1,0,0,0,0,0,0,0,0,0,0
76,한송희,한국도로공사,L,1.8,0,1,0,0,0,0,0,0,0,0,0,0
77,김정아,한국도로공사,L,1.4,1,2,0,0,0,0,0,0,0,0,0,0
78,황윤성,현대건설,L,1.4,0,1,0,0,0,0,0,0,0,0,0,0
79,캣벨,흥국생명,R,3286.8,173,113,1929,706,138,18,9,48,9,1,1,357
80,켈시,한국도로공사,R,3182.2,125,117,1638,691,86,14,1,70,2,1,1,294
81,모마,GS칼텍스,R,3055.4,176,104,1507,717,95,42,11,37,3,1,0,248
82,옐레나,KGC인삼공사,R,2927.2,108,111,1462,580,72,18,11,66,7,1,0,354
83,야스민,현대건설,R,2663.0,194,113,1344,576,101,50,10,49,1,1,0,232
84,엘리자벳,페퍼저축은행,R,2340.0,168,98,1286,533,110,17,3,48,3,0,1,197
85,문정원,한국도로공사,R,1252.6,52,114,229,68,11,16,34,7,630,283,39,271
86,하혜진,페퍼저축은행,R,988.0,42,102,298,101,19,15,9,40,40,7,3,116
87,라셈,IBK기업은행,R,885.2,53,47,517,180,38,8,3,11,0,0,0,88
88,김다은,흥국생명,R,580.0,29,37,215,71,19,5,8,11,198,58,21,81
89,황연주,현대건설,R,393.6,16,56,170,66,6,4,2,6,0,0,0,44
90,이은지,페퍼저축은행,R,122.4,5,71,0,0,0,1,0,0,2,1,0,14
91,문지윤,GS칼텍스,R,77.2,3,16,25,12,2,0,0,2,0,0,0,8
92,양효진,현대건설,C,2225.2,65,117,745,391,34,24,28,87,37,15,0,169
93,김희진,IBK기업은행,C,1884.2,105,104,923,333,58,16,14,49,6,1,1,229
94,배유나,한국도로공사,C,1479.4,67,117,366,153,20,27,28,76,25,8,1,164
95,이다현,현대건설,C,1296.0,51,117,320,150,20,10,18,86,27,12,2,123
96,이주아,흥국생명,C,1270.8,65,116,361,131,31,26,21,83,36,12,1,116
97,김수지,IBK기업은행,C,1244.0,63,108,314,123,17,22,24,72,5,2,1,126
98,정대영,한국도로공사,C,1208.8,25,115,247,83,8,20,18,80,31,5,6,167
99,김채연,흥국생명,C,1010.8,39,112,257,88,18,11,15,45,20,7,0,129
100,한수지,GS칼텍스,C,898.8,24,97,146,68,5,9,15,59,15,1,2,119
101,한송이,KGC인삼공사,C,867.0,27,86,188,75,9,7,20,46,19,4,0,113
102,박은진,KGC인삼공사,C,861.2,31,89,232,98,9,10,14,39,15,4,2,72
103,최가은,페퍼저축은행,C,809.6,63,103,250,76,18,17,22,38,19,1,2,82
104,정호영,KGC인삼공사,C,692.0,41,75,184,89,10,8,6,40,9,2,1,66
105,최정민,IBK기업은행,C,646.8,51,83,218,75,14,11,7,24,4,0,0,74
106,김유리,GS칼텍스,C,336.8,7,53,98,40,3,6,3,8,1,0,0,31
107,정지윤,현대건설,C,258.0,8,29,104,45,5,1,1,4,56,10,4,22
108,문명화,GS칼텍스,C,245.8,6,43,47,18,2,3,4,14,0,0,0,24
109,김현정,IBK기업은행,C,180.8,12,46,35,10,4,2,3,5,4,1,2,24
110,최민지,페퍼저축은행,C,117.4,10,25,30,10,2,2,1,3,0,0,0,16
111,변지수,흥국생명,C,87.6,8,23,13,4,2,1,0,5,0,0,0,14
112,김나희,흥국생명,C,67.8,1,14,17,8,1,0,1,1,0,0,0,8
113,박연화,페퍼저축은행,C,52.2,5,33,0,0,0,2,0,0,0,0,0,2
114,서채원,페퍼저축은행,C,46.4,7,19,15,3,2,1,1,0,0,0,0,2
115,하유정,한국도로공사,C,44.8,2,15,11,5,1,0,0,0,1,0,0,6
116,나현수,KGC인삼공사,C,33.0,7,23,6,0,5,0,1,2,0,0,0,2
117,정시영,현대건설,C,12.0,5,9,2,1,1,0,1,0,1,0,0,2
118,오세연,GS칼텍스,C,10.0,0,2,2,2,0,0,0,0,0,0,0,0
119,이예담,한국도로공사,C,6.8,1,5,2,0,0,0,0,0,0,0,0,0
120,이지수,KGC인삼공사,C,6.0,0,3,1,1,0,0,0,0,0,0,0,0
121,김다인,현대건설,S,1808.8,48,116,37,8,3,25,1222,7,6,0,5,288
122,김하경,IBK기업은행,S,1606.2,39,101,48,11,5,13,1003,22,3,0,3,253
123,안혜진,GS칼텍스,S,1464.6,56,97,42,15,1,19,1030,20,4,0,1,164
124,이현,페퍼저축은행,S,1243.0,36,93,37,8,2,12,778,4,9,0,0,196
125,박혜진,흥국생명,S,1136.8,50,93,48,20,4,8,664,20,6,0,1,139
126,이고은,한국도로공사,S,1092.0,21,83,37,14,1,15,615,7,4,0,0,202
127,이윤정,한국도로공사,S,1086.2,31,86,40,12,2,9,671,4,5,0,0,166
128,김다솔,흥국생명,S,940.2,31,83,23,2,3,5,560,3,4,0,0,194
129,염혜선,KGC인삼공사,S,906.8,34,56,34,16,2,9,558,0,3,0,1,180
130,하효림,KGC인삼공사,S,901.8,35,64,23,5,4,7,592,5,2,0,1,124
131,구솔,페퍼저축은행,S,416.8,16,69,14,4,2,3,216,8,1,0,0,46
132,김지원,GS칼텍스,S,396.0,14,48,7,0,0,5,253,1,3,0,1,58
133,이나연,현대건설,S,294.4,13,52,2,0,0,1,198,0,2,0,0,42
134,조송화,IBK기업은행,S,275.6,11,22,13,2,1,2,148,2,1,0,0,59
135,김혜원,KGC인삼공사,S,191.0,6,20,12,4,1,1,106,2,0,0,0,31
136,이진,IBK기업은행,S,169.8,13,32,7,0,1,0,99,2,0,0,0,22
137,박사랑,페퍼저축은행,S,115.8,2,23,2,1,0,1,62,1,0,0,0,9
138,안예림,한국도로공사,S,47.8,0,16,1,0,0,0,18,1,0,0,0,3
139,이원정,GS칼텍스,S,47.0,0,4,1,1,0,0,24,2,1,0,1,6
140,박은서,흥국생명,S,8.4,0,1,1,1,0,0,3,0,0,0,0,1
141,김현지,현대건설,S,3.0,0,2,0,0,0,0,1,0,0,0,0,0
